"","From","Trough","To","Depth","Length","To Trough","Recovery"
"1",2008-01-03,2009-03-09,2010-04-01,-0.4223,566,297,269
"2",2014-09-03,2016-02-11,2016-10-05,-0.1726,528,364,164
"3",2011-07-22,2011-10-04,2012-01-20,-0.1125,126,52,74
"4",2010-05-04,2010-05-20,2010-07-26,-0.0891,58,13,45
"5",2013-05-09,2013-06-24,2013-11-29,-0.0731,143,32,111
"6",2012-05-03,2012-06-01,2012-06-29,-0.0463,41,21,20
"7",2011-06-01,2011-06-16,2011-07-21,-0.0458,36,12,24
"8",2016-10-25,2016-11-11,2016-12-13,-0.0426,35,14,21
"9",2010-11-05,2010-11-23,2011-01-05,-0.0393,42,13,29
"10",2018-01-08,2018-02-09,NA,-0.0323,40,24,NA
