"","From","Trough","To","Depth","Length","To Trough","Recovery"
"1",2008-09-10,2008-10-15,2009-01-08,-0.1256,84,26,58
"2",2012-12-03,2013-06-24,2014-07-23,-0.0983,412,140,272
"3",2010-08-26,2011-01-14,2011-07-19,-0.0897,226,99,127
"4",2016-07-08,2016-11-30,NA,-0.0672,418,102,NA
"5",2008-01-18,2008-02-29,2008-05-19,-0.0571,84,29,55
"6",2012-02-14,2012-03-20,2012-10-03,-0.0544,162,25,137
"7",2009-01-13,2009-01-26,2009-04-16,-0.0482,65,9,56
"8",2008-05-21,2008-06-23,2008-09-05,-0.038,75,23,52
"9",2009-05-21,2009-06-10,2009-08-19,-0.0355,63,14,49
"10",2009-10-01,2009-10-14,2010-04-21,-0.0317,139,10,129
