"","From","Trough","To","Depth","Length","To Trough","Recovery"
"1",2007-05-15,2009-03-06,2014-04-24,-0.7139,1749,457,1292
"2",2016-08-10,2016-11-14,2017-04-10,-0.0755,168,68,100
"3",2016-01-06,2016-02-11,2016-03-24,-0.0683,55,26,29
"4",2015-11-30,2015-12-14,2016-01-04,-0.0384,24,11,13
"5",2017-12-11,2018-02-08,NA,-0.0383,58,41,NA
"6",2015-08-13,2015-08-24,2015-10-22,-0.0301,50,8,42
"7",2015-04-16,2015-05-06,2015-08-10,-0.023,81,15,66
"8",2014-11-28,2014-12-16,2015-01-02,-0.0221,24,13,11
"9",2014-09-02,2014-09-12,2014-10-28,-0.0163,41,9,32
"10",2014-07-14,2014-08-05,2014-08-14,-0.016,24,17,7
