"","From","Trough","To","Depth","Length","To Trough","Recovery"
"1",2003-06-16,2006-06-28,2008-11-26,-0.1439,1364,760,604
"2",2008-12-19,2010-04-05,2011-09-02,-0.1203,682,323,359
"3",2012-06-04,2018-02-21,NA,-0.1194,1451,1440,NA
"4",2003-03-11,2003-03-21,2003-05-16,-0.044,48,9,39
"5",2002-10-10,2002-10-22,2003-02-27,-0.0355,94,8,86
"6",2011-09-12,2011-10-27,2011-12-16,-0.0341,69,34,35
"7",2012-02-01,2012-03-19,2012-05-04,-0.0283,67,33,34
"8",2011-12-20,2011-12-23,2012-01-31,-0.0172,28,4,24
"9",2002-08-14,2002-08-16,2002-09-03,-0.0158,14,3,11
"10",2002-07-29,2002-07-30,2002-08-02,-0.0119,5,2,3
"11",2008-12-05,2008-12-08,2008-12-11,-0.0104,5,2,3
"12",2002-09-06,2002-09-11,2002-09-16,-0.01,7,4,3
"13",2002-08-06,2002-08-06,2002-08-09,-0.009,4,1,3
"14",2002-09-20,2002-09-25,2002-09-30,-0.0075,7,4,3
"15",2002-10-01,2002-10-01,2002-10-09,-0.0059,7,1,6
