"","From","Trough","To","Depth","Length","To Trough","Recovery"
"1",2008-12-23,2010-04-05,2011-09-22,-0.2077,693,321,372
"2",2016-07-11,2018-02-21,NA,-0.198,419,408,NA
"3",2003-06-16,2004-05-13,2008-11-26,-0.1705,1364,229,1135
"4",2012-07-25,2013-12-27,2015-03-23,-0.1656,669,360,309
"5",2015-04-02,2015-06-26,2016-02-10,-0.1123,217,60,157
"6",2011-09-23,2011-10-27,2012-05-16,-0.0743,164,25,139
"7",2003-03-13,2003-03-21,2003-05-13,-0.0623,43,7,36
"8",2002-10-10,2002-10-23,2003-02-27,-0.0614,94,9,85
"9",2016-02-12,2016-04-26,2016-06-09,-0.0432,82,51,31
"10",2016-06-17,2016-06-23,2016-06-27,-0.0324,7,5,2
"11",2012-06-04,2012-06-29,2012-07-24,-0.0308,36,20,16
"12",2002-08-15,2002-08-16,2002-09-03,-0.0238,13,2,11
"13",2015-03-25,2015-03-26,2015-04-01,-0.0173,6,2,4
"14",2002-09-06,2002-09-11,2002-09-13,-0.0153,6,4,2
"15",2003-05-27,2003-05-28,2003-06-09,-0.0145,10,2,8
